Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,12/15/2017,12/20/2017
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,10/13/2017,10/20/2017
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",5/26/2017,7/26/2017
Guaranty Bank,Milwaukee,WI,30003,First-Citizens Bank & Trust Co.,5/5/2017,7/26/2017
First NBC Bank,New Orleans,LA,58302,Whitney Bank,4/28/2017,12/5/2017
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,3/3/2017,5/18/2017
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,1/27/2017,5/18/2017
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Co.,1/13/2017,5/18/2017
Allied Bank,Mulberry,AR,91,Today's Bank,9/23/2016,9/25/2017
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,8/19/2016,6/1/2017
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Co.,5/6/2016,9/6/2016
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,4/29/2016,9/6/2016
North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Co.,3/11/2016,3/13/2017
Hometown National Bank,Longview,WA,35156,Twin City Bank,10/2/2015,4/13/2016
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,10/2/2015,10/24/2016
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",7/10/2015,8/17/2016
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,5/8/2015,7/12/2016
Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,2/27/2015,5/13/2015
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Co.,2/13/2015,4/21/2015
Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",1/23/2015,11/15/2017
First National Bank of Crestview ,Crestview,FL,17557,First NBC Bank,1/16/2015,11/15/2017
Northern Star Bank,Mankato,MN,34983,BankVista,12/19/2014,1/3/2018
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",11/7/2014,11/10/2016
The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,10/24/2014,1/6/2016
NBRS Financial,Rising Sun,MD,4862,Howard Bank,10/17/2014,3/26/2015
"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",7/25/2014,12/12/2016
Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,7/18/2014,10/6/2017
The Freedom State Bank ,Freedom,OK,12483,Alva State Bank & Trust Company,6/27/2014,3/25/2016
Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, N.A.",6/20/2014,10/6/2017
Valley Bank,Moline,IL,10450,Great Southern Bank,6/20/2014,6/26/2015
Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",5/30/2014,12/12/2016
Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",5/23/2014,11/10/2016
AztecAmerica Bank ,Berwyn,IL,57866,Republic Bank of Chicago,5/16/2014,10/20/2016
Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,4/25/2014,7/18/2014
Vantage Point Bank,Horsham,PA,58531,First Choice Bank,2/28/2014,10/6/2017
"Millennium Bank, National Association ",Sterling,VA,35096,WashingtonFirst Bank,2/28/2014,3/3/2015
Syringa Bank,Boise,ID,34296,Sunwest Bank,1/31/2014,4/12/2016
The Bank of Union,El Reno,OK,17967,BancFirst,1/24/2014,3/25/2016
DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,1/17/2014,10/20/2016
"Texas Community Bank, NA",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",12/13/2013,12/29/2014
Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,10/30/2013,10/20/2016
First National Bank ,Edinburg,TX,14318,PlainsCapital Bank,9/13/2013,5/27/2015
The Community's Bank,Bridgeport,CT,57041,No Acquirer,9/13/2013,12/7/2015
Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",8/23/2013,5/3/2017
